PointIds,X,Y,Z,ScalarGradient:0,ScalarGradient:1,ScalarGradient:2
0,253.28632663,190.9866777,0.0,-0.7092691229578124,0.6748565097195773,-0.16269841662798756
1,251.65989587,192.52804978,0.0,-0.7177388620181478,0.6679767317547353,-0.16184573063937235
154,254.89077928,189.42244096,0.0,-0.6918653982215425,0.6877734434543447,-0.16531495084029318
2,250.01930621,194.05427072,0.0,-0.7427713951209594,0.6439566963847745,-0.16055694296041229
3,248.27628171,195.44304145,0.0,-0.8053524632685042,0.5641755734583973,-0.15980622168953984
4,246.33360283,196.5597794,0.0,-0.8511888739178732,0.4847204943540176,-0.16326527456942166
5,244.3666407,197.63315438,0.0,-0.8472545272192221,0.49189966699063287,-0.16573453213326636
6,242.39937325,198.70598411,0.0,-0.8245582111759752,0.5343012404806617,-0.16459796321035844
7,240.57883421,199.96402498,0.0,-0.716167674597003,0.6608855249901143,-0.14346026785048083
8,239.08436807,201.63365842,0.0,-0.6134404705349933,0.7410671174788788,-0.12900278889423392
9,237.64482961,203.35084555,0.0,-0.6104670743797367,0.7428628795824848,-0.1282813509836503
10,236.19437262,205.05880988,0.0,-0.6174517345519718,0.7391168139913123,-0.13146459787630763
11,234.72337202,206.74892221,0.0,-0.6304709281629816,0.7321110398022178,-0.13385686403942001
12,233.22057755,208.41106349,0.0,-0.6430774079296415,0.7250256934364178,-0.13519515468753984
13,231.69350498,210.05091565,0.0,-0.6564633464917168,0.7168617915482492,-0.13712482253738775
14,230.14772565,211.67304737,0.0,-0.6656586811594521,0.7108094960151942,-0.13915219066594375
15,228.58344056,213.27735881,0.0,-0.6753217725612465,0.7041706850019552,-0.14088909144033016
16,226.99967115,214.86253367,0.0,-0.6666884773480843,0.7092302704442761,-0.14186409889800966
17,225.49722967,216.52479323,0.0,-0.6204872470557353,0.7361755199774326,-0.1398556796309033
18,224.07315486,218.25315613,0.0,-0.5901320105806965,0.7506741307913508,-0.1383503605897722
19,222.69573935,220.02059252,0.0,-0.589689433104538,0.7497218381794077,-0.14524359439305917
20,221.31832384,221.78802891,0.0,-0.6256142118070527,0.7300415007960498,-0.1530588804169565
21,219.76718338,223.40402638,0.0,-0.7225041223009626,0.6616645415084608,-0.1564951048656741
22,218.06095991,224.84610305,0.0,-0.8134306851682732,0.5467407803163514,-0.15381333801914335
23,216.1479062,225.89788808,0.0,-0.8716208521257457,0.28383810093402895,-0.12165693724796918
