901 0.900000
0.000000 0.000000 0.000000
0.001000 3.539823 0.000000
0.002000 7.079646 0.000000
0.003000 10.619469 0.000000
0.004000 14.159292 0.000000
0.005000 17.699115 0.000000
0.006000 21.238938 0.000000
0.007000 24.778761 0.000000
0.008000 28.318584 0.000000
0.009000 31.858407 0.000000
0.010000 35.398230 1.037641
0.011000 38.938053 1.174098
0.012000 42.477876 1.327570
0.013000 46.017699 1.500052
0.014000 49.557522 1.693758
0.015000 53.097345 1.911140
0.016000 56.637168 2.154912
0.017000 60.176991 2.428078
0.018000 63.716814 2.733957
0.019000 67.256637 3.076215
0.020000 70.796460 3.458897
0.021000 74.336283 3.886464
0.022000 77.876106 4.363829
0.023000 81.415929 4.896398
0.024000 84.955752 5.490119
0.025000 88.495575 6.151524
0.026000 92.035398 6.887787
0.027000 95.575221 7.706775
0.028000 99.115044 8.617111
0.029000 102.654867 9.628234
0.030000 106.194690 10.750474
0.031000 109.734513 11.995119
0.032000 113.274336 13.374499
0.033000 116.814159 14.902066
0.034000 120.353982 16.592484
0.035000 123.893805 18.461728
0.036000 127.433628 20.527180
0.037000 130.973451 22.807737
0.038000 134.513274 25.323931
0.039000 138.053097 28.098041
0.040000 141.592920 31.154224
0.041000 145.132743 34.518653
0.042000 148.672566 38.219652
0.043000 152.212389 42.287851
0.044000 155.752212 46.756339
0.045000 159.292035 51.660829
0.046000 162.831858 57.039833
0.047000 166.371681 62.934836
0.048000 169.911504 69.390491
0.049000 173.451327 76.454810
0.050000 176.991150 84.179367
0.051000 180.530973 92.619513
0.052000 184.070796 101.834591
0.053000 187.610619 111.888165
0.054000 191.150442 122.848248
0.055000 194.690265 134.787551
0.056000 198.230088 147.783718
0.057000 201.769912 161.919588
0.058000 205.309735 177.283446
0.059000 208.849558 193.969289
0.060000 212.389381 212.077090
0.061000 215.929204 231.713071
0.062000 219.469027 252.989969
0.063000 223.008850 276.027319
0.064000 226.548673 300.951716
0.065000 230.088496 327.897101
0.066000 233.628319 357.005019
0.067000 237.168142 388.424899
0.068000 240.707965 422.314307
0.069000 244.247788 458.839209
0.070000 247.787611 498.174213
0.071000 251.327434 540.502813
0.072000 254.867257 586.017611
0.073000 258.407080 634.920530
0.074000 261.946903 687.423012
0.075000 265.486726 743.746195
0.076000 269.026549 804.121069
0.077000 272.566372 868.788612
