901 0.900000
0.000000 0.000000 0.000000
0.001000 3.000000 0.000000
0.002000 6.000000 0.000000
0.003000 9.000000 0.000000
0.004000 12.000000 0.000000
0.005000 15.000000 0.000000
0.006000 18.000000 0.000000
0.007000 21.000000 0.000000
0.008000 24.000000 0.000000
0.009000 27.000000 0.000000
0.010000 30.000000 0.000000
0.011000 33.000000 0.000000
0.012000 36.000000 0.000000
0.013000 39.000000 0.000000
0.014000 42.000000 0.000000
0.015000 45.000000 0.000000
0.016000 48.000000 0.000000
0.017000 51.000000 0.000000
0.018000 54.000000 0.000000
0.019000 57.000000 0.000000
0.020000 60.000000 0.000000
0.021000 63.000000 0.000000
0.022000 66.000000 0.000000
0.023000 69.000000 0.000000
0.024000 72.000000 0.000000
0.025000 75.000000 0.000000
0.026000 78.000000 0.000000
0.027000 81.000000 0.000000
0.028000 84.000000 0.000000
0.029000 87.000000 0.000000
0.030000 90.000000 0.000000
0.031000 93.000000 0.000000
0.032000 96.000000 0.000000
0.033000 99.000000 0.000000
0.034000 102.000000 0.000000
0.035000 105.000000 0.000000
0.036000 108.000000 0.000000
0.037000 111.000000 0.000000
0.038000 114.000000 0.000000
0.039000 117.000000 0.000000
0.040000 120.000000 0.000000
0.041000 123.000000 0.000000
0.042000 126.000000 0.000000
0.043000 129.000000 0.000000
0.044000 132.000000 0.000000
0.045000 135.000000 0.000000
0.046000 138.000000 0.000000
0.047000 141.000000 0.000000
0.048000 144.000000 0.000000
0.049000 147.000000 0.000000
0.050000 150.000000 0.000000
0.051000 153.000000 0.000000
0.052000 156.000000 0.000000
0.053000 159.000000 0.000000
0.054000 162.000000 0.000000
0.055000 165.000000 0.000000
0.056000 168.000000 0.000000
0.057000 171.000000 0.000000
0.058000 174.000000 0.000000
0.059000 177.000000 0.000000
0.060000 180.000000 0.000000
0.061000 183.000000 0.000000
0.062000 186.000000 0.000000
0.063000 189.000000 0.000000
0.064000 192.000000 0.000000
0.065000 195.000000 0.000000
0.066000 198.000000 0.000000
0.067000 201.000000 0.000000
0.068000 204.000000 0.000000
0.069000 207.000000 0.000000
0.070000 210.000000 0.000000
0.071000 213.000000 0.000000
0.072000 216.000000 0.000000
0.073000 219.000000 0.000000
0.074000 222.000000 0.000000
0.075000 225.000000 0.000000
0.076000 228.000000 0.000000
0.077000 231.000000 0.000000
0.078000 234.000000 0.000000
0.079000 237.000000 0.000000
0.080000 240.000000 0.000000
0.081000 243.000000 0.000000
0.082000 246.000000 0.000000
0.083000 249.000000 0.000000
0.084000 252.000000 0.000000
0.085000 255.000000 0.000000
0.086000 258.000000 0.000000
0.087000 261.000000 0.000000
0.088000 264.000000 0.000000
0.089000 267.000000 0.000000
0.090000 270.000000 0.000000
0.091000 273.000000 0.000000
0.092000 276.000000 0.000000
0.093000 279.000000 0.000000
0.094000 282.000000 0.000000
0.095000 285.000000 0.000000
0.096000 288.000000 0.000000
0.097000 291.000000 0.000000
0.098000 294.000000 0.000000
0.099000 297.000000 0.000000
0.100000 300.000000 0.000000
0.101000 303.000000 0.000000
0.102000 306.000000 0.000000
0.103000 309.000000 0.000000
0.104000 312.000000 0.000000
0.105000 315.000000 0.000000
0.106000 318.000000 0.000000
0.107000 321.000000 0.000000
0.108000 324.000000 0.000000
0.109000 327.000000 0.000000
0.110000 330.000000 0.000000
0.111000 333.000000 0.000000
0.112000 336.000000 0.000000
0.113000 339.000000 0.000000
0.114000 342.000000 0.000000
0.115000 345.000000 0.000000
0.116000 348.000000 0.000000
0.117000 351.000000 0.000000
0.118000 354.000000 0.000000
0.119000 357.000000 0.000000
0.120000 360.000000 0.000000
0.121000 363.000000 0.000000
0.122000 366.000000 0.000000
0.123000 369.000000 0.000000
0.124000 372.000000 0.000000
0.125000 375.000000 0.000000
0.126000 378.000000 0.000000
0.127000 381.000000 0.000000
0.128000 384.000000 0.000000
0.129000 387.000000 0.000000
0.130000 390.000000 0.000000
0.131000 393.000000 0.000000
0.132000 396.000000 0.000000
0.133000 399.000000 0.000000
0.134000 402.000000 0.000000
0.135000 405.000000 0.000000
0.136000 408.000000 0.000000
0.137000 411.000000 0.000000
0.138000 414.000000 0.000000
0.139000 417.000000 0.000000
0.140000 420.000000 0.000000
0.141000 423.000000 0.000000
0.142000 426.000000 0.000000
0.143000 429.000000 0.000000
0.144000 432.000000 0.000000
0.145000 435.000000 0.000000
0.146000 438.000000 0.000000
0.147000 441.000000 0.000000
0.148000 444.000000 0.000000
0.149000 447.000000 0.000000
0.150000 450.000000 0.000000
0.151000 453.000000 0.000000
0.152000 456.000000 0.000000
0.153000 459.000000 0.000000
0.154000 462.000000 0.000000
0.155000 465.000000 0.000000
0.156000 468.000000 0.000000
0.157000 471.000000 0.000000
0.158000 474.000000 0.000000
0.159000 477.000000 0.000000
0.160000 480.000000 0.000000
0.161000 483.000000 0.000000
0.162000 486.000000 0.000000
0.163000 489.000000 0.000000
0.164000 492.000000 0.000000
0.165000 495.000000 0.000000
0.166000 498.000000 0.000000
0.167000 501.000000 0.000000
0.168000 504.000000 0.000000
0.169000 507.000000 0.000000
0.170000 510.000000 0.000000
0.171000 513.000000 0.000000
0.172000 516.000000 0.000000
0.173000 519.000000 0.000000
0.174000 522.000000 0.000000
0.175000 525.000000 0.000000
0.176000 528.000000 0.000000
0.177000 531.000000 0.000000
0.178000 534.000000 0.000000
0.179000 537.000000 0.000000
0.180000 540.000000 0.000000
0.181000 543.000000 0.000000
0.182000 546.000000 0.000000
0.183000 549.000000 0.000000
0.184000 552.000000 0.000000
0.185000 555.000000 0.000000
0.186000 558.000000 0.000000
0.187000 561.000000 0.000000
0.188000 564.000000 0.000000
0.189000 567.000000 0.000000
0.190000 570.000000 0.000000
0.191000 573.000000 0.000000
0.192000 576.000000 0.000000
0.193000 579.000000 0.000000
0.194000 582.000000 0.000000
0.195000 585.000000 0.000000
0.196000 588.000000 0.000000
0.197000 591.000000 0.000000
0.198000 594.000000 0.000000
0.199000 597.000000 0.000000
0.200000 600.000000 0.000000
0.201000 603.000000 0.000000
0.202000 606.000000 0.000000
0.203000 609.000000 0.000000
0.204000 612.000000 0.000000
0.205000 615.000000 0.000000
0.206000 618.000000 0.000000
0.207000 621.000000 0.000000
0.208000 624.000000 0.000000
0.209000 627.000000 0.000000
0.210000 630.000000 0.000000
0.211000 633.000000 0.000000
0.212000 636.000000 0.000000
0.213000 639.000000 0.000000
0.214000 642.000000 0.000000
0.215000 645.000000 0.000000
0.216000 648.000000 0.000000
0.217000 651.000000 0.000000
0.218000 654.000000 0.000000
0.219000 657.000000 0.000000
0.220000 660.000000 0.000000
0.221000 663.000000 0.000000
0.222000 666.000000 0.000000
0.223000 669.000000 0.000000
0.224000 672.000000 0.000000
0.225000 675.000000 0.000000
0.226000 678.000000 0.000000
0.227000 681.000000 0.000000
0.228000 684.000000 0.000000
0.229000 687.000000 0.000000
0.230000 690.000000 0.000000
0.231000 693.000000 0.000000
0.232000 696.000000 0.000000
0.233000 699.000000 0.000000
0.234000 702.000000 0.000000
0.235000 705.000000 0.000000
0.236000 708.000000 0.000000
0.237000 711.000000 0.000000
0.238000 714.000000 0.000000
0.239000 717.000000 0.000000
0.240000 720.000000 0.000000
0.241000 723.000000 0.000000
0.242000 726.000000 0.000000
0.243000 729.000000 0.000000
0.244000 732.000000 0.000000
0.245000 735.000000 0.000000
0.246000 738.000000 0.000000
0.247000 741.000000 0.000000
0.248000 744.000000 0.000000
0.249000 747.000000 0.000000
0.250000 750.000000 0.000000
0.251000 753.000000 0.000000
0.252000 756.000000 0.000000
0.253000 759.000000 0.000000
0.254000 762.000000 0.000000
0.255000 765.000000 0.000000
0.256000 768.000000 0.000000
0.257000 771.000000 0.000000
0.258000 774.000000 0.000000
0.259000 777.000000 0.000000
0.260000 780.000000 0.000000
0.261000 783.000000 0.000000
0.262000 786.000000 0.000000
0.263000 789.000000 0.000000
0.264000 792.000000 0.000000
0.265000 795.000000 0.000000
0.266000 798.000000 0.000000
0.267000 801.000000 0.000000
0.268000 804.000000 0.000000
0.269000 807.000000 0.000000
0.270000 810.000000 0.000000
0.271000 813.000000 0.000000
0.272000 816.000000 0.000000
0.273000 819.000000 0.000000
0.274000 822.000000 0.000000
0.275000 825.000000 0.000000
0.276000 828.000000 0.000000
0.277000 831.000000 0.000000
0.278000 834.000000 0.000000
0.279000 837.000000 0.000000
0.280000 840.000000 0.000000
0.281000 843.000000 0.000000
0.282000 846.000000 0.000000
0.283000 849.000000 0.000000
0.284000 852.000000 0.000000
0.285000 855.000000 0.000000
0.286000 858.000000 0.000000
