901 0.900000
0.000000 0.000000 0.000000
0.001000 9.950249 0.000000
0.002000 19.900498 0.000000
0.003000 29.850746 0.000000
0.004000 39.800995 0.000000
0.005000 49.751244 0.000000
0.006000 59.701493 0.000000
0.007000 69.651741 0.000000
0.008000 79.601990 0.000000
0.009000 89.552239 0.000000
0.010000 99.502488 0.000000
0.011000 109.452736 0.000000
0.012000 119.402985 0.000000
0.013000 129.353234 0.000000
0.014000 139.303483 0.000000
0.015000 149.253731 0.000000
0.016000 159.203980 0.000000
0.017000 169.154229 0.000000
0.018000 179.104478 0.000000
0.019000 189.054726 0.000000
0.020000 199.004975 0.000000
0.021000 208.955224 0.000000
0.022000 218.905473 0.000000
0.023000 228.855721 0.000000
0.024000 238.805970 0.000000
0.025000 248.756219 0.000000
0.026000 258.706468 0.000000
0.027000 268.656716 0.000000
0.028000 278.606965 0.000000
0.029000 288.557214 0.000000
0.030000 298.507463 0.000000
0.031000 308.457711 0.000000
0.032000 318.407960 0.000000
0.033000 328.358209 0.000000
0.034000 338.308458 0.000000
0.035000 348.258706 0.000000
0.036000 358.208955 0.000000
0.037000 368.159204 0.000000
0.038000 378.109453 0.000000
0.039000 388.059701 0.000000
0.040000 398.009950 0.000000
0.041000 407.960199 0.000000
0.042000 417.910448 0.000000
0.043000 427.860697 0.000000
0.044000 437.810945 0.000000
0.045000 447.761194 0.000000
0.046000 457.711443 0.000000
0.047000 467.661692 0.000000
0.048000 477.611940 0.000000
0.049000 487.562189 0.000000
0.050000 497.512438 0.000000
0.051000 507.462687 0.000000
0.052000 517.412935 0.000000
0.053000 527.363184 0.000000
0.054000 537.313433 0.000000
0.055000 547.263682 0.000000
0.056000 557.213930 0.000000
0.057000 567.164179 0.000000
0.058000 577.114428 0.000000
0.059000 587.064677 0.000000
0.060000 597.014925 0.000000
0.061000 606.965174 0.000000
0.062000 616.915423 0.000000
0.063000 626.865672 0.000000
0.064000 636.815920 0.000000
0.065000 646.766169 0.000000
0.066000 656.716418 0.000000
0.067000 666.666667 0.000000
0.068000 676.616915 0.000000
0.069000 686.567164 0.000000
0.070000 696.517413 0.000000
0.071000 706.467662 0.000000
0.072000 716.417910 0.000000
0.073000 726.368159 0.000000
0.074000 736.318408 0.000000
0.075000 746.268657 0.000000
0.076000 756.218905 0.000000
0.077000 766.169154 0.000000
0.078000 776.119403 0.000000
0.079000 786.069652 0.000000
0.080000 796.019900 0.000000
0.081000 805.970149 0.000000
0.082000 815.920398 0.000000
0.083000 825.870647 0.000000
0.084000 835.820896 0.000000
0.085000 845.771144 0.000000
0.086000 855.721393 0.000000
0.087000 865.671642 0.000000
0.088000 875.621891 0.000000
0.089000 885.572139 0.000000
0.090000 895.522388 0.000000
0.091000 905.472637 0.000000
0.092000 915.422886 0.000000
0.093000 925.373134 0.000000
0.094000 935.323383 0.000000
0.095000 945.273632 0.000000
0.096000 955.223881 0.000000
0.097000 965.174129 0.000000
0.098000 975.124378 0.000000
0.099000 985.074627 0.000000
0.100000 995.024876 0.000000
0.101000 1004.975124 0.000000
0.102000 1014.925373 0.000000
0.103000 1024.875622 0.000000
0.104000 1034.825871 0.000000
0.105000 1044.776119 0.000000
0.106000 1054.726368 0.000000
0.107000 1064.676617 0.000000
0.108000 1074.626866 0.000000
0.109000 1084.577114 0.000000
0.110000 1094.527363 0.000000
0.111000 1104.477612 0.000000
0.112000 1114.427861 0.000000
0.113000 1124.378109 0.000000
0.114000 1134.328358 0.000000
0.115000 1144.278607 0.000000
0.116000 1154.228856 0.000000
0.117000 1164.179104 0.000000
0.118000 1174.129353 0.000000
0.119000 1184.079602 0.000000
0.120000 1194.029851 0.000000
0.121000 1203.980100 0.000000
0.122000 1213.930348 0.000000
0.123000 1223.880597 0.000000
0.124000 1233.830846 0.000000
0.125000 1243.781095 0.000000
0.126000 1253.731343 0.000000
0.127000 1263.681592 0.000000
0.128000 1273.631841 0.000000
0.129000 1283.582090 0.000000
0.130000 1293.532338 0.000000
0.131000 1303.482587 0.000000
0.132000 1313.432836 0.000000
0.133000 1323.383085 0.000000
0.134000 1333.333333 0.000000
0.135000 1343.283582 0.000000
0.136000 1353.233831 0.000000
0.137000 1363.184080 0.000000
0.138000 1373.134328 0.000000
0.139000 1383.084577 0.000000
0.140000 1393.034826 0.000000
0.141000 1402.985075 0.000000
0.142000 1412.935323 0.000000
0.143000 1422.885572 0.000000
0.144000 1432.835821 0.000000
0.145000 1442.786070 0.000000
0.146000 1452.736318 0.000000
0.147000 1462.686567 0.000000
0.148000 1472.636816 0.000000
0.149000 1482.587065 0.000000
0.150000 1492.537313 0.000000
0.151000 1502.487562 0.000000
0.152000 1512.437811 0.000000
0.153000 1522.388060 0.000000
0.154000 1532.338308 0.000000
0.155000 1542.288557 0.000000
0.156000 1552.238806 0.000000
0.157000 1562.189055 0.000000
0.158000 1572.139303 0.000000
0.159000 1582.089552 0.000000
0.160000 1592.039801 0.000000
0.161000 1601.990050 0.000000
0.162000 1611.940299 0.000000
0.163000 1621.890547 0.000000
0.164000 1631.840796 0.000000
0.165000 1641.791045 0.000000
0.166000 1651.741294 0.000000
0.167000 1661.691542 0.000000
