901 0.900000
0.000000 0.000000 0.000000
0.001000 1.683312 0.000000
0.002000 3.366624 0.000000
0.003000 5.049936 0.000000
0.004000 6.733248 0.000000
0.005000 8.416560 0.000000
0.006000 10.099872 0.000000
0.007000 11.783184 0.000000
0.008000 13.466496 0.000000
0.009000 15.149808 0.000000
0.010000 16.833119 0.000000
0.011000 18.516431 0.000000
0.012000 20.199743 0.000000
0.013000 21.883055 0.000000
0.014000 23.566367 0.000000
0.015000 25.249679 0.000000
0.016000 26.932991 0.000000
0.017000 28.616303 0.000000
0.018000 30.299615 0.000000
0.019000 31.982927 0.000000
0.020000 33.666239 0.000000
0.021000 35.349551 0.000000
0.022000 37.032863 0.000000
0.023000 38.716175 0.000000
0.024000 40.399487 0.000000
0.025000 42.082799 0.000000
0.026000 43.766111 0.000000
0.027000 45.449423 0.000000
0.028000 47.132735 0.000000
0.029000 48.816046 0.000000
0.030000 50.499358 0.000000
0.031000 52.182670 0.000000
0.032000 53.865982 0.000000
0.033000 55.549294 0.000000
0.034000 57.232606 0.000000
0.035000 58.915918 0.000000
0.036000 60.599230 0.000000
0.037000 62.282542 0.000000
0.038000 63.965854 0.000000
0.039000 65.649166 0.000000
0.040000 67.332478 0.000000
0.041000 69.015790 0.000000
0.042000 70.699102 0.000000
0.043000 72.382414 0.000000
0.044000 74.065726 0.000000
0.045000 75.749038 0.000000
0.046000 77.432350 0.000000
0.047000 79.115662 0.000000
0.048000 80.798973 0.000000
0.049000 82.482285 0.000000
0.050000 84.165597 0.000000
0.051000 85.848909 0.000000
0.052000 87.532221 0.000000
0.053000 89.215533 0.000000
0.054000 90.898845 0.000000
0.055000 92.582157 0.000000
0.056000 94.265469 0.000000
0.057000 95.948781 0.000000
0.058000 97.632093 0.000000
0.059000 99.315405 0.000000
0.060000 100.998717 0.000000
0.061000 102.682029 0.000000
0.062000 104.365341 0.000000
0.063000 106.048653 0.000000
0.064000 107.731965 0.000000
0.065000 109.415277 0.000000
0.066000 111.098588 0.000000
0.067000 112.781900 0.000000
