901 0.900000
0.000000 0.000000 0.000000
0.001000 4.415011 0.000000
0.002000 8.830022 0.000000
0.003000 13.245033 0.000000
0.004000 17.660044 0.000000
0.005000 22.075055 0.000000
0.006000 26.490066 0.000000
0.007000 30.905077 0.000000
0.008000 35.320088 0.000000
0.009000 39.735099 0.000000
0.010000 44.150110 0.000000
0.011000 48.565121 0.000000
0.012000 52.980132 0.000000
0.013000 57.395143 0.000000
0.014000 61.810155 0.000000
0.015000 66.225166 0.000000
0.016000 70.640177 0.000000
0.017000 75.055188 0.000000
0.018000 79.470199 0.000000
0.019000 83.885210 0.000000
0.020000 88.300221 0.000000
0.021000 92.715232 0.000000
0.022000 97.130243 0.000000
0.023000 101.545254 0.000000
0.024000 105.960265 0.000000
0.025000 110.375276 0.000000
0.026000 114.790287 0.000000
0.027000 119.205298 0.000000
0.028000 123.620309 0.000000
0.029000 128.035320 0.000000
0.030000 132.450331 0.000000
0.031000 136.865342 0.000000
0.032000 141.280353 0.000000
0.033000 145.695364 0.000000
0.034000 150.110375 0.000000
0.035000 154.525386 0.000000
0.036000 158.940397 0.000000
0.037000 163.355408 0.000000
0.038000 167.770419 0.000000
0.039000 172.185430 0.000000
0.040000 176.600442 0.000000
0.041000 181.015453 0.000000
0.042000 185.430464 0.000000
0.043000 189.845475 0.000000
0.044000 194.260486 0.000000
0.045000 198.675497 0.000000
0.046000 203.090508 0.000000
0.047000 207.505519 0.000000
0.048000 211.920530 0.000000
0.049000 216.335541 0.000000
0.050000 220.750552 0.000000
0.051000 225.165563 0.000000
0.052000 229.580574 0.000000
0.053000 233.995585 0.000000
0.054000 238.410596 0.000000
0.055000 242.825607 0.000000
0.056000 247.240618 0.000000
0.057000 251.655629 0.000000
0.058000 256.070640 0.000000
0.059000 260.485651 0.000000
0.060000 264.900662 0.000000
0.061000 269.315673 0.000000
0.062000 273.730684 0.000000
0.063000 278.145695 0.000000
0.064000 282.560706 0.000000
0.065000 286.975717 0.000000
0.066000 291.390728 0.000000
0.067000 295.805740 0.000000
0.068000 300.220751 0.000000
0.069000 304.635762 0.000000
0.070000 309.050773 0.000000
0.071000 313.465784 0.000000
0.072000 317.880795 0.000000
0.073000 322.295806 0.000000
0.074000 326.710817 0.000000
0.075000 331.125828 0.000000
0.076000 335.540839 0.000000
0.077000 339.955850 0.000000
0.078000 344.370861 0.000000
0.079000 348.785872 0.000000
0.080000 353.200883 0.000000
0.081000 357.615894 0.000000
0.082000 362.030905 0.000000
0.083000 366.445916 0.000000
0.084000 370.860927 0.000000
0.085000 375.275938 0.000000
0.086000 379.690949 0.000000
0.087000 384.105960 0.000000
0.088000 388.520971 0.000000
0.089000 392.935982 0.000000
0.090000 397.350993 0.000000
0.091000 401.766004 0.000000
0.092000 406.181015 0.000000
0.093000 410.596026 0.000000
0.094000 415.011038 0.000000
0.095000 419.426049 0.000000
0.096000 423.841060 0.000000
0.097000 428.256071 0.000000
0.098000 432.671082 0.000000
0.099000 437.086093 0.000000
0.100000 441.501104 0.000000
0.101000 445.916115 0.000000
0.102000 450.331126 0.000000
0.103000 454.746137 0.000000
0.104000 459.161148 0.000000
0.105000 463.576159 0.000000
0.106000 467.991170 0.000000
0.107000 472.406181 0.000000
0.108000 476.821192 0.000000
0.109000 481.236203 0.000000
0.110000 485.651214 0.000000
0.111000 490.066225 0.000000
0.112000 494.481236 0.000000
0.113000 498.896247 0.000000
0.114000 503.311258 0.000000
0.115000 507.726269 0.000000
0.116000 512.141280 0.000000
0.117000 516.556291 0.000000
0.118000 520.971302 0.000000
0.119000 525.386313 0.000000
0.120000 529.801325 0.000000
0.121000 534.216336 0.000000
0.122000 538.631347 0.000000
0.123000 543.046358 0.000000
