900 0.900000
1.000000000000000021e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000042e-03 4.415009999999999657e+00 0.000000000000000000e+00
3.000000000000000062e-03 8.830019999999999314e+00 0.000000000000000000e+00
4.000000000000000083e-03 1.324499999999999922e+01 0.000000000000000000e+00
5.000000000000000104e-03 1.766000000000000014e+01 0.000000000000000000e+00
6.000000000000000125e-03 2.207509999999999906e+01 0.000000000000000000e+00
7.000000000000000146e-03 2.649010000000000176e+01 0.000000000000000000e+00
8.000000000000000167e-03 3.090510000000000090e+01 0.000000000000000000e+00
8.999999999999999320e-03 3.532009999999999650e+01 0.000000000000000000e+00
1.000000000000000021e-02 3.973510000000000275e+01 0.000000000000000000e+00
1.099999999999999936e-02 4.415010000000000190e+01 0.000000000000000000e+00
1.200000000000000025e-02 4.856510000000000105e+01 0.000000000000000000e+00
1.299999999999999940e-02 5.298010000000000019e+01 0.000000000000000000e+00
1.400000000000000029e-02 5.739509999999999934e+01 0.000000000000000000e+00
1.499999999999999944e-02 6.181020000000000181e+01 0.000000000000000000e+00
1.600000000000000033e-02 6.622520000000000095e+01 0.000000000000000000e+00
1.700000000000000122e-02 7.064019999999999300e+01 0.000000000000000000e+00
1.799999999999999864e-02 7.505519999999999925e+01 0.000000000000000000e+00
1.899999999999999953e-02 7.947020000000000550e+01 0.000000000000000000e+00
2.000000000000000042e-02 8.388519999999999754e+01 0.000000000000000000e+00
2.100000000000000130e-02 8.830020000000000380e+01 0.000000000000000000e+00
2.199999999999999872e-02 9.271519999999999584e+01 0.000000000000000000e+00
2.299999999999999961e-02 9.713020000000000209e+01 0.000000000000000000e+00
2.400000000000000050e-02 1.015450000000000017e+02 0.000000000000000000e+00
2.500000000000000139e-02 1.059599999999999937e+02 0.000000000000000000e+00
2.599999999999999881e-02 1.103750000000000000e+02 0.000000000000000000e+00
2.699999999999999969e-02 1.147900000000000063e+02 0.000000000000000000e+00
2.800000000000000058e-02 1.192049999999999983e+02 0.000000000000000000e+00
2.900000000000000147e-02 1.236200000000000045e+02 0.000000000000000000e+00
2.999999999999999889e-02 1.280349999999999966e+02 0.000000000000000000e+00
3.099999999999999978e-02 1.324499999999999886e+02 0.000000000000000000e+00
3.200000000000000067e-02 1.368650000000000091e+02 0.000000000000000000e+00
3.300000000000000155e-02 1.412800000000000011e+02 0.000000000000000000e+00
3.400000000000000244e-02 1.456949999999999932e+02 0.000000000000000000e+00
3.500000000000000333e-02 1.501100000000000136e+02 0.000000000000000000e+00
3.599999999999999728e-02 1.545250000000000057e+02 0.000000000000000000e+00
3.699999999999999817e-02 1.589399999999999977e+02 0.000000000000000000e+00
3.799999999999999906e-02 1.633549999999999898e+02 0.000000000000000000e+00
3.899999999999999994e-02 1.677700000000000102e+02 0.000000000000000000e+00
4.000000000000000083e-02 1.721850000000000023e+02 0.000000000000000000e+00
4.100000000000000172e-02 1.765999999999999943e+02 0.000000000000000000e+00
4.200000000000000261e-02 1.810149999999999864e+02 0.000000000000000000e+00
4.299999999999999656e-02 1.854300000000000068e+02 0.000000000000000000e+00
4.399999999999999745e-02 1.898449999999999989e+02 0.000000000000000000e+00
4.499999999999999833e-02 1.942599999999999909e+02 0.000000000000000000e+00
4.599999999999999922e-02 1.986750000000000114e+02 0.000000000000000000e+00
4.700000000000000011e-02 2.030910000000000082e+02 0.000000000000000000e+00
4.800000000000000100e-02 2.075060000000000002e+02 0.000000000000000000e+00
4.900000000000000189e-02 2.119209999999999923e+02 0.000000000000000000e+00
5.000000000000000278e-02 2.163360000000000127e+02 0.000000000000000000e+00
5.099999999999999672e-02 2.207510000000000048e+02 0.000000000000000000e+00
5.199999999999999761e-02 2.251659999999999968e+02 0.000000000000000000e+00
5.299999999999999850e-02 2.295809999999999889e+02 0.000000000000000000e+00
5.399999999999999939e-02 2.339960000000000093e+02 0.000000000000000000e+00
5.500000000000000028e-02 2.384110000000000014e+02 0.000000000000000000e+00
5.600000000000000117e-02 2.428259999999999934e+02 0.000000000000000000e+00
5.700000000000000205e-02 2.472410000000000139e+02 0.000000000000000000e+00
5.800000000000000294e-02 2.516560000000000059e+02 0.000000000000000000e+00
