901 0.900000
0.000000 0.000000 0.000000
0.001000 4.395604 0.000000
0.002000 8.791209 0.000000
0.003000 13.186813 0.000000
0.004000 17.582418 0.000000
0.005000 21.978022 0.000000
0.006000 26.373626 0.000000
0.007000 30.769231 0.000000
0.008000 35.164835 0.000000
0.009000 39.560440 0.000000
0.010000 43.956044 0.000000
0.011000 48.351648 0.000000
0.012000 52.747253 0.000000
0.013000 57.142857 0.000000
0.014000 61.538462 0.000000
0.015000 65.934066 0.000000
0.016000 70.329670 0.000000
0.017000 74.725275 0.000000
0.018000 79.120879 0.000000
0.019000 83.516484 0.000000
0.020000 87.912088 0.000000
0.021000 92.307692 0.000000
0.022000 96.703297 0.000000
0.023000 101.098901 0.000000
0.024000 105.494505 0.000000
0.025000 109.890110 0.000000
0.026000 114.285714 0.000000
0.027000 118.681319 0.000000
0.028000 123.076923 0.000000
0.029000 127.472527 0.000000
0.030000 131.868132 0.000000
0.031000 136.263736 0.000000
0.032000 140.659341 0.000000
0.033000 145.054945 0.000000
0.034000 149.450549 0.000000
0.035000 153.846154 0.000000
0.036000 158.241758 0.000000
0.037000 162.637363 0.000000
0.038000 167.032967 0.000000
0.039000 171.428571 0.000000
0.040000 175.824176 0.000000
0.041000 180.219780 0.000000
0.042000 184.615385 0.000000
0.043000 189.010989 0.000000
0.044000 193.406593 0.000000
0.045000 197.802198 0.000000
0.046000 202.197802 0.000000
0.047000 206.593407 0.000000
0.048000 210.989011 0.000000
0.049000 215.384615 0.000000
0.050000 219.780220 0.000000
0.051000 224.175824 0.000000
0.052000 228.571429 0.000000
0.053000 232.967033 0.000000
0.054000 237.362637 0.000000
0.055000 241.758242 0.000000
0.056000 246.153846 0.000000
0.057000 250.549451 0.000000
0.058000 254.945055 0.000000
0.059000 259.340659 0.000000
0.060000 263.736264 0.000000
0.061000 268.131868 0.000000
0.062000 272.527473 0.000000
0.063000 276.923077 0.000000
0.064000 281.318681 0.000000
0.065000 285.714286 0.000000
0.066000 290.109890 0.000000
0.067000 294.505495 0.000000
0.068000 298.901099 0.000000
0.069000 303.296703 0.000000
0.070000 307.692308 0.000000
0.071000 312.087912 0.000000
0.072000 316.483516 0.000000
0.073000 320.879121 0.000000
0.074000 325.274725 0.000000
0.075000 329.670330 0.000000
0.076000 334.065934 0.000000
0.077000 338.461538 0.000000
0.078000 342.857143 0.000000
0.079000 347.252747 0.000000
0.080000 351.648352 0.000000
0.081000 356.043956 0.000000
0.082000 360.439560 0.000000
0.083000 364.835165 0.000000
0.084000 369.230769 0.000000
0.085000 373.626374 0.000000
0.086000 378.021978 0.000000
0.087000 382.417582 0.000000
0.088000 386.813187 0.000000
0.089000 391.208791 0.000000
0.090000 395.604396 0.000000
0.091000 400.000000 0.000000
0.092000 404.395604 0.000000
0.093000 408.791209 0.000000
0.094000 413.186813 0.000000
0.095000 417.582418 0.000000
0.096000 421.978022 0.000000
0.097000 426.373626 0.000000
0.098000 430.769231 0.000000
0.099000 435.164835 0.000000
0.100000 439.560440 0.000000
0.101000 443.956044 0.000000
0.102000 448.351648 0.000000
0.103000 452.747253 0.000000
0.104000 457.142857 0.000000
0.105000 461.538462 0.000000
0.106000 465.934066 0.000000
0.107000 470.329670 0.000000
0.108000 474.725275 0.000000
0.109000 479.120879 0.000000
0.110000 483.516484 0.000000
0.111000 487.912088 0.000000
0.112000 492.307692 0.000000
0.113000 496.703297 0.000000
0.114000 501.098901 0.000000
0.115000 505.494505 0.000000
0.116000 509.890110 0.000000
0.117000 514.285714 0.000000
0.118000 518.681319 0.000000
0.119000 523.076923 0.000000
0.120000 527.472527 0.000000
0.121000 531.868132 0.000000
0.122000 536.263736 0.000000
0.123000 540.659341 0.000000
0.124000 545.054945 0.000000
0.125000 549.450549 0.000000
0.126000 553.846154 0.000000
0.127000 558.241758 0.000000
0.128000 562.637363 0.000000
0.129000 567.032967 0.000000
0.130000 571.428571 0.000000
0.131000 575.824176 0.000000
0.132000 580.219780 0.000000
0.133000 584.615385 0.000000
0.134000 589.010989 0.000000
0.135000 593.406593 0.000000
0.136000 597.802198 0.000000
0.137000 602.197802 0.000000
0.138000 606.593407 0.000000
0.139000 610.989011 0.000000
0.140000 615.384615 0.000000
0.141000 619.780220 0.000000
0.142000 624.175824 0.000000
0.143000 628.571429 0.000000
0.144000 632.967033 0.000000
0.145000 637.362637 0.000000
0.146000 641.758242 0.000000
0.147000 646.153846 0.000000
0.148000 650.549451 0.000000
0.149000 654.945055 0.000000
0.150000 659.340659 0.000000
0.151000 663.736264 0.000000
0.152000 668.131868 0.000000
0.153000 672.527473 0.000000
0.154000 676.923077 0.000000
0.155000 681.318681 0.000000
0.156000 685.714286 0.000000
0.157000 690.109890 0.000000
0.158000 694.505495 0.000000
0.159000 698.901099 0.000000
0.160000 703.296703 0.000000
0.161000 707.692308 0.000000
