PointIds,X,Y,Z,ScalarGradient:0,ScalarGradient:1,ScalarGradient:2
0,245.38678995,191.99600009,0.0,-0.6927932059947994,-0.2677628195385388,0.16004767621855878
1,247.5547739,191.41368218,0.0,-0.35654271296309553,0.17632551070761426,0.16365083331819844
114,244.04251737,190.19817369,0.0,-0.31569920907944843,-0.7310232384939112,0.09680151523066599
2,249.2030209,189.91276111,0.0,-0.16737652090019295,0.16744352239282054,0.13840861939527863
3,250.79580087,188.3311073,0.0,-0.138874162573383,0.14860646787577977,0.15449030915735115
4,252.35813018,186.71953969,0.0,-0.11946372881899332,0.13456220368547947,0.15820952493503673
5,253.88034213,185.06965505,0.0,-0.09211292231366101,0.11324926109183957,0.15551317560100075
6,255.33583644,183.36072954,0.0,-0.06645680351916478,0.09142160667282545,0.14725829260085857
7,256.74059458,181.61039493,0.0,-0.045353964632762755,0.07131960509536031,0.1354177027292127
8,258.0947808,179.8205301,0.0,-0.025484204763180085,0.04958751808127712,0.12294698661033447
9,259.39683774,177.99189775,0.0,-0.009285557938581308,0.029516499300787192,0.11197883806931941
10,260.65104504,176.13014707,0.0,0.0008879713186155203,0.015576943828877176,0.10633252903527753
11,261.88450419,174.25463947,0.0,0.005916650848216742,0.008195112232806258,0.10226187422183249
12,263.10348039,172.36961905,0.0,0.00906302850271405,0.0033946814617776175,0.09975373273166077
13,264.31428735,170.47932938,0.0,0.010454513003334184,0.001218940757680959,0.09687786764815531
14,265.5258955,168.58955314,0.0,0.011066704603120337,-1.1238968089775231e-05,0.08791415428564762
15,266.74177704,166.70252709,0.0,0.019514155853911266,-0.018046266429039847,0.05811179487807986
16,267.90761604,164.78611631,0.0,0.034041585102030376,-0.06513924099100592,0.004186731604786709
17,268.96046716,162.80451123,0.0,0.03724569455518131,-0.21998682709523001,-0.08582044296727853
18,269.54370968,160.63677584,0.0,0.03915746294284698,-0.30236027510694163,-0.11532989164164469
19,270.11615297,158.46617675,0.0,0.03728037271830563,-0.3089917154923835,-0.1180319281357356
20,270.67499992,156.29205733,0.0,0.033183681646781475,-0.3180008157954352,-0.1243972991508278
21,271.21784967,154.11385748,0.0,0.024890301696337658,-0.32994049699742717,-0.13716986360950625
22,271.74512656,151.93183373,0.0,-0.12111706116196119,-0.5146609146984852,-0.17775451126986677
23,271.51812631,149.75316442,0.0,-0.28537340774564335,-0.6517820765366382,-0.18385697418564584
24,270.86970399,147.60782121,0.0,-0.36198942781821014,-0.68972872754752,-0.16281704159540544
25,270.07520719,145.50829205,0.0,-0.3751142656997268,-0.6997981113758195,-0.14898007071745858
26,269.27812824,143.40974167,0.0,-0.4617768807719591,-0.7128541069994805,-0.11159157048784564
27,268.11894239,141.50158555,0.0,-0.5956989479796152,-0.7068241552517557,-0.03446233480587873
28,266.62150702,139.85971951,0.0,-0.6958019489360826,-0.6697412275062743,0.0348106672646615
29,264.87186895,138.45345196,0.0,-0.7296260655993505,-0.6506954568176208,0.06349417684229917
30,263.09095603,137.08685117,0.0,-0.8006221649855965,-0.5194344401892327,0.1960037209615282
31,260.92681771,136.83774783,0.0,-0.8352360748885469,-0.3470017221581892,0.3475545447642026
32,258.6820133,136.83218752,0.0,-0.8263853163221228,-0.2988473266704622,0.3746093333397938
33,256.43721251,136.83892699,0.0,-0.8243174587993475,-0.28064610250106947,0.37927223274509236
34,254.19253129,136.86451552,0.0,-0.8214851400795075,-0.2643518557260647,0.38384983167065934
35,251.94810385,136.90628419,0.0,-0.819186794870088,-0.2540919157328723,0.3869413203881413
36,249.70379542,136.95442688,0.0,-0.8184609674780452,-0.25008436452784577,0.3877748428379116
37,247.45951299,137.00368832,0.0,-0.8189180169880824,-0.24876617146262378,0.3870616013756514
38,245.21504747,137.0439759,0.0,-0.8214104620310954,-0.2504327799311226,0.3836172802212916
39,242.97029365,137.05882298,0.0,-0.8248373774749013,-0.25342208517780374,0.3788079059847523
40,240.72564343,137.04402827,0.0,-0.8289600707689305,-0.25803437415671066,0.3728359870336013
41,238.48156231,136.99296611,0.0,-0.8343964229185078,-0.2653752683236758,0.36451721363962797
42,236.23921345,136.88751403,0.0,-0.8410736005425443,-0.27666288509333037,0.35338534754594236
43,234.00179361,136.70756395,0.0,-0.8473199257205003,-0.291317580948365,0.34162483024797563
44,231.77010048,136.46908365,0.0,-0.8522319837346263,-0.30512910723164094,0.33076967341954855
45,229.54551708,136.17074905,0.0,-0.8568935348142451,-0.32095019050172785,0.3183794400867912
46,227.3315236,135.79996419,0.0,-0.8609350541730265,-0.33755825497666897,0.30506046394136155
47,225.13277439,135.348416,0.0,-0.863595860767374,-0.3549925013639916,0.2923065926815899
48,222.94634438,134.84138896,0.0,-0.8648784229019272,-0.3680241825516992,0.2827486898426366
